Line09_DD_10m.bin
        10.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
6915
 2
0
4  500.00  0.00 520.00  0.00 460.00  0.00 480.00  0.00 -0.82599 
4  400.00  0.00 500.00  0.00 0.00  0.00 100.00  0.00 -0.02156 
4  400.00  0.00 500.00  0.00 100.00  0.00 200.00  0.00 -0.07490 
4  400.00  0.00 500.00  0.00 200.00  0.00 300.00  0.00 -0.39045 
4  420.00  0.00 500.00  0.00 20.00  0.00 100.00  0.00 -0.01232 
4  420.00  0.00 500.00  0.00 100.00  0.00 180.00  0.00 -0.03284 
4  420.00  0.00 500.00  0.00 180.00  0.00 260.00  0.00 -0.11546 
4  420.00  0.00 500.00  0.00 260.00  0.00 340.00  0.00 -0.42074 
4  440.00  0.00 500.00  0.00 20.00  0.00 80.00  0.00 -0.00489 
4  440.00  0.00 500.00  0.00 80.00  0.00 140.00  0.00 -0.01002 
4  440.00  0.00 500.00  0.00 140.00  0.00 200.00  0.00 -0.02276 
4  440.00  0.00 500.00  0.00 200.00  0.00 260.00  0.00 -0.05979 
4  440.00  0.00 500.00  0.00 260.00  0.00 320.00  0.00 -0.15606 
4  440.00  0.00 500.00  0.00 320.00  0.00 380.00  0.00 -0.31026 
4  460.00  0.00 500.00  0.00 100.00  0.00 140.00  0.00 -0.00397 
4  460.00  0.00 500.00  0.00 140.00  0.00 180.00  0.00 -0.00712 
4  460.00  0.00 500.00  0.00 180.00  0.00 220.00  0.00 -0.01324 
4  460.00  0.00 500.00  0.00 220.00  0.00 260.00  0.00 -0.02478 
4  460.00  0.00 500.00  0.00 260.00  0.00 300.00  0.00 -0.04764 
4  460.00  0.00 500.00  0.00 300.00  0.00 340.00  0.00 -0.08019 
4  460.00  0.00 500.00  0.00 340.00  0.00 380.00  0.00 -0.10561 
4  460.00  0.00 500.00  0.00 380.00  0.00 420.00  0.00 -0.29831 
4  480.00  0.00 500.00  0.00 300.00  0.00 320.00  0.00 -0.01479 
4  480.00  0.00 500.00  0.00 320.00  0.00 340.00  0.00 -0.01799 
4  480.00  0.00 500.00  0.00 340.00  0.00 360.00  0.00 -0.01933 
4  480.00  0.00 500.00  0.00 360.00  0.00 380.00  0.00 -0.02120 
4  480.00  0.00 500.00  0.00 380.00  0.00 400.00  0.00 -0.02679 
4  480.00  0.00 500.00  0.00 400.00  0.00 420.00  0.00 -0.05684 
4  480.00  0.00 500.00  0.00 420.00  0.00 440.00  0.00 -0.16719 
4  480.00  0.00 500.00  0.00 440.00  0.00 460.00  0.00 -0.78036 
4  380.00  0.00 480.00  0.00 80.00  0.00 180.00  0.00 -0.07685 
4  380.00  0.00 480.00  0.00 180.00  0.00 280.00  0.00 -0.39401 
4  400.00  0.00 480.00  0.00 0.00  0.00 80.00  0.00 -0.01323 
4  400.00  0.00 480.00  0.00 80.00  0.00 160.00  0.00 -0.03537 
4  400.00  0.00 480.00  0.00 160.00  0.00 240.00  0.00 -0.11490 
4  400.00  0.00 480.00  0.00 240.00  0.00 320.00  0.00 -0.45804 
4  420.00  0.00 480.00  0.00 0.00  0.00 60.00  0.00 -0.00557 
4  420.00  0.00 480.00  0.00 60.00  0.00 120.00  0.00 -0.01103 
