Project15	Dipole-Dipole_1								
5									
11									
3									
Type	of	measurement	"(0=app.resistivity,1=resistance)"						
4	270	0	240	0	120	0	150	0	0.0380234
4	350	0	320	0	200	0	230	0	0.0380275
4	280	0	250	0	130	0	160	0	0.0385375
4	210	0	200	0	120	0	130	0	0.0385477
4	240	0	210	0	60	0	90	0	0.0385899
4	260	0	220	0	60	0	100	0	0.0386629
4	240	0	210	0	60	0	90	0	0.0388314
4	230	0	200	0	20	0	50	0	0.0391664
4	280	0	250	0	130	0	160	0	0.0393895
4	250	0	230	0	130	0	150	0	0.0397905
4	230	0	220	0	150	0	160	0	0.0399142
4	230	0	220	0	150	0	160	0	0.0400232
4	200	0	190	0	110	0	120	0	0.0400532
4	280	0	260	0	180	0	200	0	0.0401107
4	360	0	340	0	240	0	260	0	0.0403634
4	240	0	220	0	120	0	140	0	0.0403695
4	350	0	340	0	260	0	270	0	0.0407819
4	300	0	295	0	250	0	255	0	0.040807
4	290	0	260	0	140	0	170	0	0.0410644
4	370	0	340	0	220	0	250	0	0.041194
4	270	0	240	0	120	0	150	0	0.0412424
4	310	0	290	0	210	0	230	0	0.0415336
4	240	0	220	0	120	0	140	0	0.0421846
4	200	0	180	0	20	0	40	0	0.0424695
4	200	0	190	0	110	0	120	0	0.0425491
4	190	0	180	0	90	0	100	0	0.0429531
4	290	0	260	0	140	0	170	0	0.0430591
4	200	0	180	0	20	0	40	0	0.0430699
4	360	0	350	0	270	0	280	0	0.0433718
4	240	0	200	0	0	0	40	0	0.0435856
4	240	0	200	0	0	0	40	0	0.0436218
4	300	0	280	0	200	0	220	0	0.0436631
4	190	0	180	0	90	0	100	0	0.0440368
4	250	0	240	0	180	0	190	0	0.0448179
4	270	0	260	0	210	0	220	0	0.0449394
4	260	0	210	0	10	0	60	0	0.0453686
4	260	0	210	0	10	0	60	0	0.045542
4	250	0	240	0	180	0	190	0	0.0456292
4	210	0	190	0	50	0	70	0	0.0459804
4	290	0	270	0	190	0	210	0	0.0460619
4	210	0	190	0	50	0	70	0	0.0462374
4	255	0	250	0	215	0	220	0	0.046653
4	310	0	305	0	260	0	265	0	0.0471243
4	260	0	230	0	110	0	140	0	0.0472703
4	260	0	230	0	110	0	140	0	0.0479278
4	380	0	350	0	230	0	260	0	0.0482788
4	260	0	255	0	220	0	225	0	0.0485111
4	280	0	270	0	220	0	230	0	0.0488574
4	300	0	270	0	150	0	180	0	0.048943
4	220	0	190	0	10	0	40	0	0.0493383
4	220	0	190	0	10	0	40	0	0.0494549
4	120	0	110	0	20	0	30	0	0.0496162
4	180	0	170	0	80	0	90	0	0.0499274
4	120	0	110	0	20	0	30	0	0.0499717
